feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Paracoccus	hatchery	south_santiam	-1.37786567872887	1.03131995233276	40	5	0.18992684778313	0.549061250863957
Anoxybacillus	hatchery	willamette	-1.55044671967664	1.16817971235335	40	9	0.192787928632506	0.552311363109343
Rathayibacter	hatchery	willamette	1.11896349810416	0.85356367621406	40	5	0.198182082929616	0.557715950191309
Bradyrhizobium	hatchery	south_santiam	-1.44993411962307	1.10370111833393	40	35	0.197257370240636	0.557715950191309
Chroococcidiopsaceae	hatchery	willamette	0.973918828542904	0.749551862995792	40	7	0.202088893633012	0.563721650660507
Granulicatella	hatchery	sandy	-1.48678333228323	1.15418065432549	40	7	0.205904491508318	0.56937068086648
Exiguobacterium	hatchery	south_santiam	-1.70597576547215	1.33242481739046	40	12	0.208609075971672	0.571876604818895
Brevundimonas	hatchery	willamette	1.02962874157344	0.815461644137911	40	7	0.214838930927183	0.574107395250792
Actinomycetospora	hatchery	willamette	0.96052513106049	0.759040547976309	40	5	0.213840642020015	0.574107395250792
Mobilicoccus	hatchery	sandy	-1.17811199754413	0.92684036215368	40	7	0.211843166256491	0.574107395250792
Neisseriaceae	hatchery	willamette	1.28096095836906	1.05212492924558	40	9	0.231335034664008	0.604666323671341
Massilia	hatchery	south_santiam	1.22786792284522	1.04544701066206	40	39	0.247909276560225	0.604666323671341
Hafnia.Obesumbacterium	hatchery	south_santiam	1.4401984070974	1.22198608126468	40	8	0.246300277716825	0.604666323671341
Malacoplasma	hatchery	south_santiam	0.791574189245125	0.669852341481826	40	38	0.245066480065901	0.604666323671341
Blautia	hatchery	willamette	-0.579255797282878	0.489556953497988	40	23	0.244475222117099	0.604666323671341
Acinetobacter	hatchery	south_santiam	-1.34427895912924	1.12657039325897	40	39	0.240576704459416	0.604666323671341
Acinetobacter	hatchery	willamette	1.13617256643585	0.966026142536769	40	39	0.247261994791506	0.604666323671341
Rhodoferax	hatchery	south_santiam	1.35977741921291	1.15672275540357	40	38	0.247493684235706	0.604666323671341
Bradyrhizobium	hatchery	willamette	1.12268934949426	0.946415901072365	40	35	0.243292337159926	0.604666323671341
Turicibacter	hatchery	south_santiam	0.490960292592671	0.413279357245657	40	39	0.2426269766651	0.604666323671341
Dubosiella	hatchery	willamette	-0.478085399923804	0.408095741578902	40	37	0.249092101889766	0.604666323671341
Faecalibacterium	hatchery	willamette	-0.495860866290796	0.40591955726273	40	36	0.229808063994883	0.604666323671341
Tetragenococcus	hatchery	willamette	-1.16835374712746	1.00883093309769	40	37	0.254438130187919	0.612964586361805
Lactobacillus	hatchery	willamette	-0.540675880929688	0.480434597954037	40	37	0.267871316722935	0.640474276074385
Knoellia	hatchery	sandy	1.10388464302769	0.989519301071148	40	5	0.271994964580923	0.645480587587564
Streptococcus	hatchery	willamette	1.09103083065696	1.00759284214973	40	38	0.286092646859228	0.673907123712849
Nakamurella	hatchery	willamette	0.860869617154891	0.803067225230113	40	5	0.290864309466685	0.67431423299899
Lautropia	hatchery	sandy	1.20448553707022	1.12470827590682	40	12	0.2913278009128	0.67431423299899
Ramlibacter	hatchery	south_santiam	-0.43941121447592	0.411430940978582	40	14	0.292626931301448	0.67431423299899
Brevibacterium	hatchery	south_santiam	-1.19991322753507	1.13225289390292	40	9	0.296313834243773	0.677302834993777
Limnohabitans	hatchery	south_santiam	1.34361231624068	1.27284148257973	40	11	0.298183638047575	0.677302834993777
Klebsiella	hatchery	sandy	-1.4665396106027	1.40129593763181	40	34	0.30227901729806	0.681735656033923
Bacteroides	hatchery	willamette	-0.249592852869381	0.242038464168397	40	40	0.309320168205391	0.69270291189658
Akkermansia	hatchery	willamette	-0.447429340540833	0.436111555121581	40	37	0.311759041370357	0.693282343746667
Parageobacillus	hatchery	willamette	-1.00999975220816	0.996591923458142	40	37	0.317606806536988	0.696544582612153
Bacteroides	hatchery	south_santiam	0.287290690459505	0.282262928253632	40	40	0.315558938060644	0.696544582612153
Bacteroides	hatchery	sandy	0.294669494796875	0.29216988820043	40	40	0.319919061102315	0.696810009798193
Lactobacillus	hatchery	south_santiam	0.562077247571838	0.560278205857866	40	37	0.32245489526447	0.697555487714976
Micrococcus	hatchery	sandy	1.21283285550847	1.22436578633741	40	9	0.328502111873224	0.701098466950908
Faecalibacterium	hatchery	south_santiam	0.470238067253617	0.473379482315176	40	36	0.327162950739844	0.701098466950908
Dubosiella	hatchery	south_santiam	0.467169442549772	0.47591732752756	40	37	0.33283892791156	0.705618527172507
Streptococcus	hatchery	sandy	-1.16680682285919	1.21628720895214	40	38	0.343797330888019	0.724023518029073
Chroococcidiopsaceae	hatchery	sandy	0.861783987499091	0.904800337270108	40	7	0.347216533778571	0.724451229599216
Limnohabitans	hatchery	sandy	-1.25135134038643	1.3175161044458	40	11	0.348556723675094	0.724451229599216
Abiotrophia	hatchery	willamette	0.807324516457919	0.860461870574372	40	7	0.354370795243743	0.731752681087729
Roseomonas	hatchery	south_santiam	0.891452735360119	0.960769171379499	40	7	0.359663225363058	0.73788971397066
Citrobacter	hatchery	sandy	0.781354909459089	0.851551180481411	40	6	0.364952485794369	0.743941605657753
Actinomycetospora	hatchery	sandy	0.833129630296836	0.916254335044603	40	5	0.369251199471623	0.747910072815135
Brevibacterium	hatchery	sandy	1.0547680946645	1.17199308982218	40	9	0.37411297721043	0.75296156172732
Aeromonas	hatchery	sandy	0.818256836738342	0.943575626607972	40	39	0.391583055136528	0.754687342626762
Veillonella	hatchery	willamette	0.87373945053529	0.982516582239484	40	17	0.379752831798742	0.754687342626762
Granulicatella	hatchery	willamette	-0.836949095310409	0.956142724585559	40	7	0.387192483617622	0.754687342626762
Curtobacterium	hatchery	south_santiam	-0.960852989590074	1.10312766694385	40	9	0.389511568343035	0.754687342626762
Parageobacillus	hatchery	south_santiam	-1.02348925975434	1.16221591289515	40	37	0.384356331684542	0.754687342626762
Escherichia.Shigella	hatchery	willamette	0.485469028835353	0.557740084950218	40	8	0.389837298068575	0.754687342626762
Paracoccus	hatchery	sandy	-0.944978368044216	1.06751756965116	40	5	0.381917444719311	0.754687342626762
Micrococcus	hatchery	willamette	0.845349350420204	1.0142852719379	40	9	0.410090573198489	0.782088366777862
