feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV260	enteritis	E3	1.26634668840499	0.837998130949082	40	14	0.139020532437896	0.621624526108158
ASV261	enteritis	E3	1.26153971932294	0.797437748198162	40	35	0.121940183515426	0.621624526108158
ASV491	enteritis	E3	-1.22560689380641	0.75610657972417	40	10	0.113299329185363	0.621624526108158
ASV529	enteritis	E3	-1.75128867414889	1.13802434490034	40	24	0.132118813278323	0.621624526108158
ASV585	enteritis	E3	-1.11811123861269	0.665268825702156	40	7	0.10102637769311	0.621624526108158
ASV766	enteritis	E3	0.921088957516024	0.605406940039522	40	10	0.136428616870642	0.621624526108158
ASV828	enteritis	E3	-0.944291035338524	0.610725319971887	40	7	0.130349748242681	0.621624526108158
ASV960	enteritis	E3	1.51673193656711	0.89127042857429	40	13	0.0969690785269055	0.621624526108158
ASV997	enteritis	E3	-1.27555996049826	0.762733000267053	40	15	0.102669776144687	0.621624526108158
ASV1099	enteritis	E3	-1.06614581459336	0.652920193451146	40	7	0.110752595860089	0.621624526108158
ASV1213	enteritis	E3	-1.31284834859766	0.832859914690375	40	34	0.123243336638435	0.621624526108158
ASV1287	enteritis	E3	1.23781667696447	0.764601883075787	40	8	0.11373931073936	0.621624526108158
ASV1519	enteritis	E3	-1.64471659922186	1.04157755219957	40	24	0.122610890578756	0.621624526108158
ASV1675	enteritis	E3	-0.841385702240368	0.508077494302275	40	6	0.105954320407997	0.621624526108158
ASV1788	enteritis	E3	-1.10474251256513	0.688898215646489	40	8	0.117074750106057	0.621624526108158
ASV2593	enteritis	E3	-1.01665027326735	0.589910167001056	40	6	0.0929455814093992	0.621624526108158
ASV2613	enteritis	E3	1.0511380730909	0.695797956352557	40	8	0.139138065524491	0.621624526108158
ASV2823	enteritis	E3	1.40409223191664	0.932408103686425	40	19	0.140366828476036	0.621624526108158
ASV3022	enteritis	E3	-1.3550834221772	0.788913347785827	40	26	0.0939993315574978	0.621624526108158
ASV191	enteritis	E3	-0.997913264522016	0.75763365543072	40	11	0.195677697141136	0.643682140907964
ASV255	enteritis	E3	-0.745424288248446	0.588485862098298	40	20	0.212978342320864	0.643682140907964
ASV551	enteritis	E3	-0.985876407401505	0.771007282009653	40	24	0.20876199358807	0.643682140907964
ASV611	enteritis	E3	-0.773603555727201	0.606581091706585	40	6	0.209927216409857	0.643682140907964
ASV881	enteritis	E3	-0.814341646216678	0.592169382515482	40	11	0.177128426116642	0.643682140907964
ASV1070	enteritis	E3	-1.01725898381763	0.689556052890102	40	12	0.14838690795675	0.643682140907964
ASV1094	enteritis	E3	0.672116994928521	0.52347913875255	40	11	0.206935838154623	0.643682140907964
ASV1153	enteritis	E3	1.36201351662124	0.972405367534631	40	30	0.169427782119323	0.643682140907964
ASV1240	enteritis	E3	0.374607161011324	0.272369272081989	40	35	0.177072676634024	0.643682140907964
ASV1390	enteritis	E3	0.68197450122535	0.526848190312078	40	10	0.203323899989228	0.643682140907964
ASV1701	enteritis	E3	-1.16781611513861	0.830833838576723	40	9	0.16796817051229	0.643682140907964
ASV1753	enteritis	E3	-1.05885655302179	0.7911212497948	40	13	0.188711415311985	0.643682140907964
ASV1887	enteritis	E3	0.859718094342525	0.60451066377001	40	10	0.163133209213092	0.643682140907964
ASV2014	enteritis	E3	0.398749694585279	0.276971915803122	40	35	0.158147032638703	0.643682140907964
ASV2536	enteritis	E3	-1.07678140363121	0.849655822788424	40	9	0.212754400912554	0.643682140907964
ASV2889	enteritis	E3	-1.03503831902687	0.79659705210732	40	11	0.201660614219973	0.643682140907964
ASV2899	enteritis	E3	-1.02663577265351	0.79235804976838	40	19	0.202904131090986	0.643682140907964
ASV2917	enteritis	E3	0.932046761433387	0.695570287636381	40	8	0.188211587777084	0.643682140907964
ASV3336	enteritis	E3	-1.01372499526017	0.774454967996444	40	33	0.198411097126388	0.643682140907964
ASV3346	enteritis	E3	-0.801197652363966	0.617095659718238	40	14	0.201996541584646	0.643682140907964
ASV3347	enteritis	E3	1.05976434900074	0.744064995116564	40	5	0.162523357492685	0.643682140907964
ASV3361	enteritis	E3	-0.595432864998771	0.451588571198402	40	14	0.19521852666558	0.643682140907964
ASV3443	enteritis	E3	-0.752966966485532	0.595227975151109	40	6	0.213571954586974	0.643682140907964
